DATE,LMJVTTUVDEQ647S
1960-01-01,350936.825014867
1960-04-01,393203.462446844
1960-07-01,420983.428846489
1960-10-01,465943.449161306
1961-01-01,480973.416537544
1961-04-01,462391.656551725
1961-07-01,468334.050097007
1961-10-01,509741.964339166
1962-01-01,520211.065573771
1962-04-01,499793.715846995
1962-07-01,485415.300546448
1962-10-01,473049.863387978
1963-01-01,463560.109289618
1963-04-01,473912.568306011
1963-07-01,484840.163934426
1963-10-01,494617.486338798
1964-01-01,552418.715846994
1964-04-01,519923.49726776
1964-07-01,522511.612021858
1964-10-01,550405.737704918
1965-01-01,566797.131147541
1965-04-01,557882.513661202
1965-07-01,547817.62295082
1965-10-01,575999.316939891
1966-01-01,548967.896174863
1966-04-01,494329.918032787
1966-07-01,441417.349726776
1966-10-01,327252.732240437
1967-01-01,261112.021857924
1967-04-01,249896.857923497
1967-07-01,257948.770491803
1967-10-01,278366.120218579
1968-01-01,336167.349726776
1968-04-01,396269.12568306
1968-07-01,461259.56284153
1968-10-01,529988.387978142
1969-01-01,587789.617486339
1969-04-01,641852.459016394
1969-07-01,661119.535519126
1969-10-01,716907.786885246
1970-01-01,726397.540983606
1970-04-01,689876.366120219
1970-07-01,661982.240437158
1970-10-01,656518.442622951
1971-01-01,617121.584699454
1971-04-01,572260.928961749
1971-07-01,532864.071038251
1971-10-01,488290.983606557
1972-01-01,466723.360655738
1972-04-01,457233.606557377
1972-07-01,462697.404371585
1972-10-01,513021.857923497
1973-01-01,530563.524590164
1973-04-01,509571.038251366
1973-07-01,494329.918032787
1973-10-01,399719.945355191
1974-01-01,309423.49726776
1974-04-01,285267.759562842
1974-07-01,255073.087431694
1974-10-01,223153.005464481
1975-01-01,225165.983606557
1975-04-01,203023.224043716
1975-07-01,193821.038251366
1975-10-01,191520.491803279
1976-01-01,194683.743169399
1976-04-01,207624.316939891
1976-07-01,204173.49726776
1976-10-01,205611.338797814
1977-01-01,202735.655737705
1977-04-01,194108.606557377
1977-07-01,200147.540983607
1977-10-01,201585.382513661
1978-01-01,203310.792349727
1978-04-01,205323.770491803
1978-07-01,213950.819672131
1978-10-01,232067.62295082
1979-01-01,242132.513661202
1979-04-01,259674.180327869
1979-07-01,272327.18579235
1979-10-01,283542.349726776
1980-01-01,279228.825136612
1980-04-01,270026.639344262
1980-07-01,259961.74863388
1980-10-01,247883.879781421
1981-01-01,213950.819672131
1981-04-01,185769.12568306
1981-07-01,162763.661202186
1981-10-01,136307.37704918
1982-01-01,115314.890710383
1982-04-01,93747.2677595628
1982-07-01,77643.4426229508
1982-10-01,64127.7322404372
1983-01-01,62402.3224043716
1983-04-01,64990.43715847
1983-07-01,66715.8469945355
1983-10-01,68728.825136612
1984-01-01,70741.8032786885
1984-04-01,74767.7595628415
1984-07-01,78506.1475409836
1984-10-01,82819.6721311476
1985-01-01,87708.3333333333
1985-04-01,90584.0163934426
1985-07-01,98060.7923497268
1985-10-01,109275.956284153
1986-01-01,120778.68852459
1986-04-01,132281.420765027
1986-07-01,139758.196721311
1986-10-01,142346.31147541
1987-01-01,143496.584699454
1987-04-01,145509.56284153
1987-07-01,149823.087431694
1987-10-01,150398.224043716
1988-01-01,152986.338797814
1988-04-01,159600.409836066
1988-07-01,168515.027322404
1988-10-01,174266.393442623
1989-01-01,188644.808743169
1989-04-01,201585.382513661
1989-07-01,225741.120218579
1989-10-01,269163.93442623
1990-01-01,266575.819672131
1990-04-01,269739.071038251
1990-07-01,271464.480874317
1990-10-01,276640.710382514
1991-01-01,301084.016393443
1991-04-01,310861.338797814
1991-07-01,324664.617486339
1991-10-01,324377.049180328
1992-01-01,322939.207650273
1992-04-01,306547.81420765
1992-07-01,298783.469945355
1992-10-01,293032.103825137
1993-01-01,249321.721311475
1993-04-01,242995.218579235
1993-07-01,235806.010928962
1993-10-01,227754.098360656
1994-01-01,230917.349726776
1994-04-01,233793.032786885
1994-07-01,252197.404371585
1994-10-01,276928.278688525
1995-01-01,280379.098360656
1995-04-01,280091.530054645
1995-07-01,275202.868852459
1995-10-01,273477.459016393
1996-01-01,283542.349726776
1996-04-01,286418.032786885
1996-07-01,279228.825136612
1996-10-01,283254.781420765
1997-01-01,286705.601092896
1997-04-01,282104.508196721
1997-07-01,292456.967213115
1997-10-01,310861.338797814
1998-01-01,336167.349726776
1998-04-01,371250.683060109
1998-07-01,381028.005464481
1998-10-01,371538.25136612
1999-01-01,383040.983606557
1999-04-01,387929.644808743
1999-07-01,397994.535519126
1999-10-01,416640.710382514
2000-01-01,430333.333333333
2000-04-01,450333.333333333
2000-07-01,458333.333333333
2000-10-01,470000.0
2001-01-01,460666.666666667
2001-04-01,437666.666666667
2001-07-01,422000.0
2001-10-01,400666.666666667
2002-01-01,398666.666666667
2002-04-01,391333.333333333
2002-07-01,361666.666666667
2002-10-01,333333.333333333
2003-01-01,303666.666666667
2003-04-01,272666.666666667
2003-07-01,253666.666666667
2003-10-01,233000.0
2004-01-01,213000
2004-04-01,205000.0
2004-07-01,203333.333333333
2004-10-01,202333.333333333
2005-01-01,220333.333333333
2005-04-01,245000.0
2005-07-01,269000.0
2005-10-01,286000.0
2006-01-01,301000.0
2006-04-01,336666.666666667
2006-07-01,372000.0
2006-10-01,403666.666666667
2007-01-01,430000.0
2007-04-01,433333.333333333
2007-07-01,419666.666666667
2007-10-01,408333.333333333
2008-01-01,397333.333333333
2008-04-01,394000.0
2008-07-01,392333.333333333
2008-10-01,371000.0
2009-01-01,331333.333333333
2009-04-01,294333.333333333
2009-07-01,284333.333333333
2009-10-01,295666.666666667
2010-01-01,313333.333333333
2010-04-01,346000.0
2010-07-01,376666.666666667
2010-10-01,400000.0
2011-01-01,433000.0
2011-04-01,460000
2011-07-01,476333.333333333
2011-10-01,495333.333333333
2012-01-01,494333.333333333
2012-04-01,489000
2012-07-01,474000.0
2012-10-01,453666.666666667
2013-01-01,461333.333333333
2013-04-01,451000.0
2013-07-01,455000.0
2013-10-01,460666.666666667
2014-01-01,468666.666666667
2014-04-01,481000.0
2014-07-01,496666.666666667
2014-10-01,514000.0
2015-01-01,533333.333333333
2015-04-01,555000.0
2015-07-01,577333.333333333
2015-10-01,607666.666666667
2016-01-01,630666.666666667
2016-04-01,649000.0
2016-07-01,662666.666666667
2016-10-01,678333.333333333
2017-01-01,694000.0
2017-04-01,714333.333333334
2017-07-01,740666.666666666
2017-10-01,771333.333333334
2018-01-01,785333.333333334
2018-04-01,793000.0
2018-07-01,803000.0
2018-10-01,803333.333333334
2019-01-01,806666.666666666
2019-04-01,795666.666666666
2019-07-01,768333.333333334
2019-10-01,727333.333333334
2020-01-01,707333.333333334
2020-04-01,594666.666666667
2020-07-01,562666.666666667
2020-10-01,594333.333333333
2021-01-01,607000.0
2021-04-01,659666.666666667
2021-07-01,746666.666666666
2021-10-01,803666.666666666
2022-01-01,847000.0
2022-04-01,866666.666666666
2022-07-01,848333.333333334
2022-10-01,816666.666666666
2023-01-01,801333.333333334
2023-04-01,772000.0
2023-07-01,740000.0
